pattern_name,text
chain_of_responsibility,Design Patterns Behavioral patterns Avoid coupling the sender of a request to its receiver by giving more than one object a chance to handle the request.  Chain the receiving objects and pass the request along the chain until an object handles it. Launch-and-leave requests with a single processing pipeline that contains many possible handlers. An object-oriented linked list with recursive traversal. The base class maintains a "next" pointer. Each derived class implements its contribution for handling the request. If the request needs to be "passed on" then the derived class "calls back" to the base class which delegates to the "next" pointer. The client (or some third party) creates and links the chain (which may include a link from the last node to the root node). The client "launches and leaves" each request with the root of the chain. Recursive delegation produces the illusion of magic. Chain of Responsibility Command Mediator and Observer address how you can decouple senders and receivers but with different trade-offs. Chain of Responsibility passes a sender request along a chain of potential receivers. Chain of Responsibility can use Command to represent requests as objects. Chain of Responsibility is often applied in conjunction with Composite.  There a component's parent can act as its successor.
flyweight,Design Patterns Structural patterns Use sharing to support large numbers of fine-grained objects efficiently. The Motif GUI strategy of replacing heavy-weight widgets with light-weight gadgets. Ant Locust Cockroach Ensure that object overhead is an issue needing attention and the client of the class is able and willing to absorb responsibility realignment. Divide the target class's state into: shareable (intrinsic) state and non-shareable (extrinsic) state. Remove the non-shareable state from the class attributes and add it the calling argument list of affected methods. Create a Factory that can cache and reuse existing class instances. The client must use the Factory instead of the new operator to request objects. The client (or a third party) must look-up or compute the non-shareable state and supply that state to class methods. Whereas Flyweight shows how to make lots of little objects Facade shows how to make a single object represent an entire subsystem. Flyweight is often combined with Composite to implement shared leaf nodes. Terminal symbols within Interpreter's abstract syntax tree can be shared with Flyweight. Flyweight explains when and how State objects can be shared.
proxy,Design Patterns Structural patterns Provide a surrogate or placeholder for another object to control access to it. Use an extra level of indirection to support distributed controlled or intelligent access. Add a wrapper and delegation to protect the real component from undue complexity. A virtual proxy is a placeholder for "expensive to create" objects. The real object is only created when a client first requests/accesses the object. A remote proxy provides a local representative for an object that resides in a different address space.  This is what the "stub" code in RPC and CORBA provides. A protective proxy controls access to a sensitive master object.  The "surrogate" object checks that the caller has the access permissions required prior to forwarding the request. A smart proxy interposes additional actions when an object is accessed.  Typical uses include:      Counting the number of references to the real object so that it can be freed automatically when there are no more references (aka smart pointer)   Loading a persistent object into memory when it's first referenced   Checking that the real object is locked before it is accessed to ensure that no other object can change it.     Identify the leverage or "aspect" that is best implemented as a wrapper or surrogate. Define an interface that will make the proxy and the original component interchangeable. Consider defining a Factory that can encapsulate the decision of whether a proxy or original object is desirable. The wrapper class holds a pointer to the real class and implements the interface. The pointer may be initialized at construction or on first use. Each wrapper method contributes its leverage and delegates to the wrappee object. Adapter provides a different interface to its subject.  Proxy provides the same interface.  Decorator provides an enhanced interface. Decorator and Proxy have different purposes but similar structures. Both describe how to provide a level of indirection to another object and the implementations keep a reference to the object to which they forward requests.
memento,Design Patterns Behavioral patterns Without violating encapsulation capture and externalize an object's internal state so that the object can be returned to this state later. A magic cookie that encapsulates a "check point" capability.  Promote undo or rollback to full object status. Originator  - the object that knows how to save itself.  Caretaker  - the object that knows why and when the Originator needs to save and restore itself.  Memento  - the lock box that is written and read by the Originator and shepherded by the Caretaker. Identify the roles of “caretaker” and “originator”. Create a Memento class and declare the originator a friend. Caretaker knows when to "check point" the originator. Originator creates a Memento and copies its state to that Memento. Caretaker holds on to (but cannot peek into) the Memento. Caretaker knows when to "roll back" the originator. Originator reinstates itself using the saved state in the Memento. Command and Memento act as magic tokens to be passed around and invoked at a later time. In Command the token represents a request; in Memento it represents the internal state of an object at a particular time. Polymorphism is important to Command but not to Memento because its interface is so narrow that a memento can only be passed as a value. Command can use Memento to maintain the state required for an undo operation. Memento is often used in conjunction with Iterator. An Iterator can use a Memento to capture the state of an iteration. The Iterator stores the Memento internally.
decorator,Design Patterns Structural patterns Attach additional responsibilities to an object dynamically. Decorators provide a flexible alternative to subclassing for extending functionality. Client-specified embellishment of a core object by recursively wrapping it. Wrapping a gift putting it in a box and wrapping the box. CoreFunctionality.doThis() OptionalOne.doThis() OptionalTwo.doThis() Ensure the context is: a single core (or non-optional) component several optional embellishments or wrappers and an interface that is common to all. Create a "Lowest Common Denominator" interface that makes all classes interchangeable. Create a second level base class (Decorator) to support the optional wrapper classes. The Core class and Decorator class inherit from the LCD interface. The Decorator class declares a composition relationship to the LCD interface and this data member is initialized in its constructor. The Decorator class delegates to the LCD object. Define a Decorator derived class for each optional embellishment. Decorator derived classes implement their wrapper functionality - and - delegate to the Decorator base class. The client configures the type and ordering of Core and Decorator objects. Adapter provides a different interface to its subject. Proxy provides the same interface. Decorator provides an enhanced interface. Adapter changes an object's interface Decorator enhances an object's responsibilities. Decorator is thus more transparent to the client. As a consequence Decorator supports recursive composition which isn't possible with pure Adapters. Composite and Decorator have similar structure diagrams reflecting the fact that both rely on recursive composition to organize an open-ended number of objects. A Decorator can be viewed as a degenerate Composite with only one component.  However a Decorator adds additional responsibilities - it isn't intended for object aggregation. Decorator is designed to let you add responsibilities to objects without subclassing. Composite's focus is not on embellishment but on representation. These intents are distinct but complementary. Consequently Composite and Decorator are often used in concert. Composite could use Chain of Responsibility to let components access global properties through their parent. It could also use Decorator to override these properties on parts of the composition. Decorator and Proxy have different purposes but similar structures. Both describe how to provide a level of indirection to another object and the implementations keep a reference to the object to which they forward requests. Decorator lets you change the skin of an object. Strategy lets you change the guts.
composite,Design Patterns Structural patterns Compose objects into tree structures to represent whole-part hierarchies.  Composite lets clients treat individual objects and compositions of objects uniformly. Recursive composition "Directories contain entries each of which could be a directory." 1-to-many "has a" up the "is a" hierarchy addChild() removeChild() Ensure that your problem is about representing "whole-part" hierarchical relationships. Consider the heuristic "Containers that contain containees each of which could be a container."  For example "Assemblies that contain components each of which could be an assembly." Divide your domain concepts into container classes and containee classes. Create a "lowest common denominator" interface that makes your containers and containees interchangeable.  It should specify the behavior that needs to be exercised uniformly across all containee and container objects. All container and containee classes declare an "is a" relationship to the interface. All container classes declare a one-to-many "has a" relationship to the interface. Container classes leverage polymorphism to delegate to their containee objects. Child management methods [e.g.  addChild()   removeChild() ] should normally be defined in the Composite class. Unfortunately the desire to treat Leaf and Composite objects uniformly may require that these methods be promoted to the abstract Component class. See the Gang of Four for a discussion of these "safety" versus "transparency" trade-offs. Composite and Decorator have similar structure diagrams reflecting the fact that both rely on recursive composition to organize an open-ended number of objects. Composite can be traversed with Iterator.  Visitor can apply an operation over a Composite.  Composite could use Chain of Responsibility to let components access global properties through their parent.  It could also use Decorator to override these properties on parts of the composition.  It could use Observer to tie one object structure to another and State to let a component change its behavior as its state changes. Composite can let you compose a Mediator out of smaller pieces through recursive composition. Decorator is designed to let you add responsibilities to objects without subclassing.  Composite's focus is not on embellishment but on representation.  These intents are distinct but complementary. Consequently Composite and Decorator are often used in concert. Flyweight is often combined with Composite to implement shared leaf nodes. dynamic_cast dynamic_cast
bridge,Design Patterns Structural patterns Decouple an abstraction from its implementation so that the two can vary independently. Publish interface in an inheritance hierarchy and bury implementation in its own inheritance hierarchy. Beyond encapsulation to insulation you want run-time binding of the implementation you have a proliferation of classes resulting from a coupled interface and numerous implementations you want to share an implementation among multiple objects you need to map orthogonal class hierarchies. decoupling the object's interface improved extensibility (you can extend (i.e. subclass) the abstraction and implementation hierarchies independently) hiding details from clients. Decide if two orthogonal dimensions exist in the domain.  These independent concepts could be: abstraction/platform or domain/infrastructure or front-end/back-end or interface/implementation. Design the separation of concerns: what does the client want and what do the platforms provide. Design a platform-oriented interface that is minimal necessary and sufficient.  Its goal is to decouple the abstraction from the platform. Define a derived class of that interface for each platform. Create the abstraction base class that "has a" platform object and delegates the platform-oriented functionality to it. Define specializations of the abstraction class if desired. Adapter makes things work after they're designed; Bridge makes them work before they are. Bridge is designed up-front to let the abstraction and the implementation vary independently. Adapter is retrofitted to make unrelated classes work together. State Strategy Bridge (and to some degree Adapter) have similar solution structures.  They all share elements of the "handle/body" idiom. They differ in intent - that is they solve different problems. The structure of State and Bridge are identical (except that Bridge admits hierarchies of envelope classes whereas State allows only one).  The two patterns use the same structure to solve different problems: State allows an object's behavior to change along with its state while Bridge's intent is to decouple an abstraction from its implementation so that the two can vary independently. If interface classes delegate the creation of their implementation classes (instead of creating/coupling themselves directly) then the design usually uses the Abstract Factory pattern to create the implementation objects.
prototype,Design Patterns Creational patterns Specify the kinds of objects to create using a prototypical instance and create new objects by copying this prototype. Co-opt one instance of a class for use as a breeder of all future instances. The  new  operator considered harmful. clone() Add a  clone()  method to the existing "product" hierarchy. Design a "registry" that maintains a cache of prototypical objects. The registry could be encapsulated in a new  Factory  class or in the base class of the "product" hierarchy. Design a factory method that: may (or may not) accept arguments finds the correct prototype object calls  clone()  on that object and returns the result. The client replaces all references to the  new  operator with calls to the factory method. Sometimes creational patterns are competitors: there are cases when either Prototype or Abstract Factory could be used properly. At other times they are complementary: Abstract Factory might store a set of Prototypes from which to clone and return product objects. Abstract Factory Builder and Prototype can use Singleton in their implementations. Abstract Factory classes are often implemented with Factory Methods but they can be implemented using Prototype. Factory Method: creation through inheritance. Prototype: creation through delegation. Often designs start out using Factory Method (less complicated more customizable subclasses proliferate) and evolve toward Abstract Factory Prototype or Builder (more flexible more complex) as the designer discovers where more flexibility is needed. Prototype doesn't require subclassing but it does require an "initialize" operation. Factory Method requires subclassing but doesn't require Initialize. Designs that make heavy use of the Composite and Decorator patterns often can benefit from Prototype as well. Prototype co-opts one instance of a class for use as a breeder of all future instances. Prototypes are useful when object initialization is expensive and you anticipate few variations on the initialization parameters. In this context Prototype can avoid expensive "creation from scratch" and support cheap cloning of a pre-initialized prototype. Prototype is unique among the other creational patterns in that it doesn't require a class – only an object.  Object-oriented languages like Self and Omega that do away with classes completely rely on prototypes for creating new objects.
adapter,Design Patterns Structural patterns Convert the interface of a class into another interface clients expect.  Adapter lets classes work together that couldn't otherwise because of incompatible interfaces. Wrap an existing class with a new interface. Impedance match an old component to a new system display() Identify the players: the component(s) that want to be accommodated (i.e. the client) and the component that needs to adapt (i.e. the adaptee). Identify the interface that the client requires. Design a "wrapper" class that can "impedance match" the adaptee to the client. The adapter/wrapper class "has a" instance of the adaptee class. The adapter/wrapper class "maps" the client interface to the adaptee interface. The client uses (is coupled to) the new interface Adapter makes things work after they're designed; Bridge makes them work before they are. Bridge is designed up-front to let the abstraction and the implementation vary independently. Adapter is retrofitted to make unrelated classes work together. Adapter provides a different interface to its subject. Proxy provides the same interface. Decorator provides an enhanced interface. Adapter is meant to change the interface of an existing object. Decorator enhances another object without changing its interface. Decorator is thus more transparent to the application than an adapter is.  As a consequence Decorator supports recursive composition which isn't possible with pure Adapters. Facade defines a new interface whereas Adapter reuses an old interface. Remember that Adapter makes two existing interfaces work together as opposed to defining an entirely new one.
private_class_data,Design Patterns Structural patterns Control write access to class attributes Separate data from methods that use it Encapsulate class data initialization Providing new type of  final  -  final after constructor Create data class. Move to data class all attributes that need hiding. Create in main class instance of data class. Main class must initialize data class through the data class's constructor. Expose each attribute (variable or property) of data class through a getter. Expose each attribute that will change in further through a setter.
builder,Design Patterns Creational patterns Separate the construction of a complex object from its representation so that the same construction process can create different representations. Parse a complex representation create one of several targets. Decide if a common input and many possible representations (or outputs) is the problem at hand. Encapsulate the parsing of the common input in a Reader class. Design a standard protocol for creating all possible output representations.  Capture the steps of this protocol in a Builder interface. Define a Builder derived class for each target representation. The client creates a Reader object and a Builder object and registers the latter with the former. The client asks the Reader to "construct". The client asks the Builder to return the result. Sometimes creational patterns are complementary: Builder can use one of the other patterns to implement which components get built. Abstract Factory Builder and Prototype can use Singleton in their implementations. Builder focuses on constructing a complex object step by step. Abstract Factory emphasizes a family of product objects (either simple or complex). Builder returns the product as a final step but as far as the Abstract Factory is concerned the product gets returned immediately. Builder often builds a Composite. Often designs start out using Factory Method (less complicated more customizable subclasses proliferate) and evolve toward Abstract Factory Prototype or Builder (more flexible more complex) as the designer discovers where more flexibility is needed.
